Date,Temp.High,Temp.Ave,Temp.Low,Precip
05/01/2022,86,72.2,61,0
05/02/2022,87,69.3,62,0.25
05/03/2022,86,76.2,68,0.17
05/04/2022,89,76.1,63,0.01
05/05/2022,92,78.8,66,0
05/06/2022,89,75.9,63,0
05/07/2022,86,76.3,69,0.11
05/08/2022,86,73.7,61,0
05/09/2022,81,69.6,60,0
05/10/2022,82,67.8,52,0
05/11/2022,84,68.6,51,0
05/12/2022,82,69.6,56,0
05/13/2022,82,69.5,62,0
05/14/2022,87,67.5,59,1.92
05/15/2022,89,72.6,67,0
05/16/2022,86,71.6,64,0.12
05/17/2022,88,78.3,68,0.02
05/18/2022,93,75.8,70,0
05/19/2022,91,84.1,72,0
05/20/2022,88,77,67,0
05/21/2022,89,75.6,70,0.03
05/22/2022,89,77.6,67,0.35
05/23/2022,90,80.1,71,0.03
05/24/2022,89,79.3,71,0
05/25/2022,87,76.4,69,0.11
05/26/2022,88,80.2,71,0
05/27/2022,82,75.7,72,0
05/28/2022,88,71.7,63,0.21
05/29/2022,91,75.6,64,0
05/30/2022,90,76.2,66,0.27
05/31/2022,88,76.6,67,0
06/01/2022,89,77.3,65,0
06/02/2022,91,76.3,63,0
06/03/2022,92,81,68,0
06/04/2022,91,79.9,70,0
06/05/2022,91,78.7,70,0
06/06/2022,92,76.6,69,0
06/07/2022,93,76.2,67,0.9
06/08/2022,94,81.5,71,0
06/09/2022,93,81.4,73,0.49
06/10/2022,89,79.5,73,0.02
06/11/2022,89,79.8,74,0.06
06/12/2022,85,78.3,73,0.08
06/13/2022,91,80.7,73,0.43
06/14/2022,94,82,75,0.18
06/15/2022,95,82.3,71,0.5
06/16/2022,96,85.2,75,0
06/17/2022,96,83.7,71,0
06/18/2022,94,84.6,74,0
06/19/2022,94,80.2,74,0.21
06/20/2022,90,81.8,74,0
06/21/2022,91,79.9,66,0
06/22/2022,93,82.4,73,0
06/23/2022,99,85.7,75,0
06/24/2022,97,81.3,73,0
06/25/2022,92,79.2,71,0.08
06/26/2022,92,78.9,66,0.06
06/27/2022,88,79.2,65,0
06/28/2022,95,80.5,72,0
06/29/2022,95,82.1,73,0
06/30/2022,95,81,71,0
07/01/2022,89,78.8,71,0
07/02/2022,88,78.8,72,0.55
07/03/2022,88,78.5,73,0.1
07/04/2022,94,81,72,1.21
07/05/2022,92,79.3,74,0.8
07/06/2022,93,82.5,73,1.63
07/07/2022,94,83.5,75,0
