"contrast","Species","Polymer","estimate","SE","df","t.ratio","p.value"
"0 - 5 Months","G","No",39.3118371953434,1.80274591821237,374.31428898951,21.8066432979782,3.71661427770105e-68
"0 - 11 Months","G","No",15.7143752653066,1.95007665945526,375.715506117816,8.0583371884961,3.1191440511835e-14
"5 Months - 11 Months","G","No",-23.5974619300368,1.95990203950801,376.006412639751,-12.0401231563392,5.51225631613197e-28
"0 - 5 Months","M","No",20.0495527473212,2.18775965501283,381.250802927357,9.16442201563666,9.39052705334147e-18
"0 - 11 Months","M","No",11.8208962498449,2.54821629998546,383.72472877387,4.63889044658899,1.44381341102709e-05
"5 Months - 11 Months","M","No",-8.22865649747628,2.82651132082975,377.709442027752,-2.91124130189603,0.0114403828469858
"0 - 5 Months","G","Yes",36.1706383616077,1.80275135010733,374.338821775464,20.0641305077676,7.61230385451821e-61
"0 - 11 Months","G","Yes",9.63941052719826,1.93788354708902,380.187949127683,4.97419493636656,2.98238657607578e-06
"5 Months - 11 Months","G","Yes",-26.5312278344095,1.94669854792406,379.304979266752,-13.6288321901211,3.16251752550084e-34
"0 - 5 Months","M","Yes",18.4589952237621,2.38130718866575,382.80290292035,7.75162285303675,2.47947698037889e-13
"0 - 11 Months","M","Yes",11.0602841807676,2.89845669214934,387.932120700324,3.81592183548061,0.000473526143453728
"5 Months - 11 Months","M","Yes",-7.39871104299456,3.27669111468887,382.400326520466,-2.25798245364885,0.0735297021908343
